"file","topic","sentiment","opinion","node"
"kandidat_31",9,"positive",1,"topic_9_positive"
"kandidat_31",10,"positive",1,"topic_10_positive"
"kandidat_32",1,"negative",-1,"topic_1_negative"
"kandidat_32",2,"negative",-1,"topic_2_negative"
"kandidat_32",3,"negative",-1,"topic_3_negative"
"kandidat_32",4,"positive",1,"topic_4_positive"
"kandidat_32",5,"positive",1,"topic_5_positive"
"kandidat_32",6,"negative",-1,"topic_6_negative"
"kandidat_32",7,"negative",-1,"topic_7_negative"
"kandidat_32",8,"positive",1,"topic_8_positive"
"kandidat_32",9,"positive",1,"topic_9_positive"
"kandidat_32",10,"positive",1,"topic_10_positive"
"kandidat_33",1,"positive",1,"topic_1_positive"
"kandidat_33",2,"negative",-1,"topic_2_negative"
"kandidat_33",3,"positive",1,"topic_3_positive"
"kandidat_33",4,"positive",1,"topic_4_positive"
"kandidat_33",5,"negative",-1,"topic_5_negative"
"kandidat_33",6,"negative",-1,"topic_6_negative"
"kandidat_33",7,"positive",1,"topic_7_positive"
"kandidat_33",8,"positive",1,"topic_8_positive"
"kandidat_33",9,"positive",1,"topic_9_positive"
"kandidat_33",10,"positive",1,"topic_10_positive"
"kandidat_34",1,"negative",-1,"topic_1_negative"
"kandidat_34",2,"positive",1,"topic_2_positive"
"kandidat_34",3,"negative",-1,"topic_3_negative"
"kandidat_34",4,"positive",1,"topic_4_positive"
"kandidat_34",5,"negative",-1,"topic_5_negative"
"kandidat_34",6,"negative",-1,"topic_6_negative"
"kandidat_34",7,"negative",-1,"topic_7_negative"
"kandidat_34",8,"positive",1,"topic_8_positive"
"kandidat_34",9,"positive",1,"topic_9_positive"
"kandidat_34",10,"positive",1,"topic_10_positive"
"kandidat_35",1,"negative",-1,"topic_1_negative"
"kandidat_35",2,"positive",1,"topic_2_positive"
"kandidat_35",3,"negative",-1,"topic_3_negative"
"kandidat_35",4,"positive",1,"topic_4_positive"
"kandidat_35",5,"positive",1,"topic_5_positive"
"kandidat_35",6,"positive",1,"topic_6_positive"
"kandidat_35",7,"negative",-1,"topic_7_negative"
"kandidat_35",8,"positive",1,"topic_8_positive"
"kandidat_35",9,"positive",1,"topic_9_positive"
"kandidat_35",10,"positive",1,"topic_10_positive"
"kandidat_36",1,"positive",1,"topic_1_positive"
"kandidat_36",2,"positive",1,"topic_2_positive"
